Fecha,CO,Temp Ext
23/01/18,2.259,17.5
23/01/18,2.128,16.6
23/01/18,2.465,17.6
23/01/18,3.333,16.3
23/01/18,3.342,17.4
23/01/18,2.697,17.9
23/01/18,2.968,19.2
23/01/18,3.046,18.6
23/01/18,2.976,19.3
23/01/18,2.538,22.9
23/01/18,2.95,21.4
24/01/18,1.586,18.4
24/01/18,1.624,16.9
24/01/18,1.62,17.2
24/01/18,1.593,17.5
24/01/18,1.67,16.7
24/01/18,1.601,17.2
24/01/18,1.58,17.3
24/01/18,1.458,25.5
24/01/18,1.489,23.2
24/01/18,1.568,19.6
24/01/18,1.513,25.7
24/01/18,1.463,24.7
24/01/18,1.546,19.4
24/01/18,1.527,26.1
24/01/18,1.559,18.5
24/01/18,1.701,17.4
24/01/18,1.63,21.2
24/01/18,1.609,25.5
24/01/18,1.685,20.6
24/01/18,1.756,19
24/01/18,1.747,24.3
24/01/18,2.125,17.9
24/01/18,2.134,16.3
24/01/18,2.553,16.5
25/01/18,1.623,16.1
25/01/18,1.625,16.6
25/01/18,1.641,14.4
25/01/18,1.62,15.4
25/01/18,1.638,14.8
25/01/18,1.609,17.1
25/01/18,1.677,14.3
25/01/18,1.761,14.9
25/01/18,1.721,16.2
25/01/18,1.676,18
25/01/18,1.875,14.3
25/01/18,1.712,19.1
25/01/18,1.68,18.8
25/01/18,1.842,14.3
25/01/18,1.71,19.1
25/01/18,2.038,14
25/01/18,1.762,19.4
25/01/18,1.862,16.5
25/01/18,1.875,19
25/01/18,1.926,18.8
25/01/18,2.009,16.1
25/01/18,1.984,16
25/01/18,2.153,17.2
25/01/18,2.391,17.7
26/01/18,1.478,24.6
26/01/18,1.509,24.5
26/01/18,1.711,14.9
26/01/18,1.585,24.2
26/01/18,1.768,17.4
26/01/18,1.566,23.9
26/01/18,1.635,19.3
26/01/18,1.712,15.5
26/01/18,1.697,15.1
26/01/18,1.618,22.7
26/01/18,1.628,20.9
26/01/18,1.892,14.8
26/01/18,1.666,24
26/01/18,1.758,15.2
26/01/18,1.764,19.2
26/01/18,2.214,15.9
26/01/18,1.856,15.8
26/01/18,2.06,14.5
26/01/18,2.747,14.4
26/01/18,2.628,14.1
26/01/18,2.043,20
26/01/18,2.125,22.4
26/01/18,2.178,20.6
26/01/18,2.285,21.3
27/01/18,1.561,24.1
27/01/18,1.669,18.5
27/01/18,1.859,16.7
27/01/18,1.601,25.1
27/01/18,1.602,25.8
27/01/18,1.921,16.3
27/01/18,1.667,25.5
27/01/18,1.807,17
27/01/18,1.74,24
27/01/18,1.721,25.1
27/01/18,1.705,22.8
27/01/18,1.98,16.7
27/01/18,1.847,20.9
27/01/18,1.883,15.2
27/01/18,1.908,17.1
27/01/18,1.989,15.1
27/01/18,2.032,19.1
27/01/18,2.318,16.1
27/01/18,2.167,16.8
27/01/18,2.356,17.1
27/01/18,2.285,18
27/01/18,2.281,18.4
27/01/18,3.317,14.4
27/01/18,3.122,15.3
28/01/18,1.597,16.8
28/01/18,1.44,24.8
28/01/18,1.412,25.5
28/01/18,1.037,15.4
28/01/18,1.417,24.6
28/01/18,1.495,24.1
28/01/18,1.448,20
28/01/18,1.396,23.4
28/01/18,1.422,21.8
28/01/18,1.526,18.5
28/01/18,1.675,21.8
28/01/18,1.699,20.6
28/01/18,1.631,23.1
28/01/18,1.864,16.5
28/01/18,1.823,16.5
28/01/18,1.847,20.2
28/01/18,2.297,14.9
28/01/18,2.214,14.9
28/01/18,2.17,14.5
28/01/18,2.094,15.5
28/01/18,2.051,16.1
28/01/18,2.338,14.5
28/01/18,2.35,14.2
28/01/18,2.275,14.2
29/01/18,0.213,13.5
29/01/18,0.192,13.9
29/01/18,0.217,13.4
29/01/18,0.231,13.4
29/01/18,0.22,15.2
29/01/18,0.135,14.4
29/01/18,0.307,13.4
29/01/18,0.304,19
29/01/18,0.297,18.1
29/01/18,0.321,15.9
29/01/18,0.324,20.6
29/01/18,0.31,19.7
29/01/18,0.358,20.2
29/01/18,0.384,16.6
29/01/18,0.398,17.3
29/01/18,0.4,20.1
29/01/18,0.388,19.5
29/01/18,0.52,16.3
29/01/18,0.495,18
29/01/18,0.479,18.7
29/01/18,0.406,13.4
29/01/18,0.872,14.8
29/01/18,0.697,13.6
29/01/18,0.967,14
30/01/18,0.227,13.3
30/01/18,0.22,13.9
30/01/18,0.245,12.6
30/01/18,0.237,11.8
30/01/18,0.218,14.3
30/01/18,0.261,11.3
30/01/18,0.23,15.1
30/01/18,0.185,17.7
30/01/18,0.182,15
30/01/18,0.2,17.2
30/01/18,0.3,11.1
30/01/18,0.21,12.7
30/01/18,0.186,14.1
30/01/18,0.211,15.7
30/01/18,0.319,10.7
30/01/18,0.228,17.9
30/01/18,0.366,10.1
30/01/18,0.445,10.4
30/01/18,0.532,15.7
30/01/18,0.371,18
30/01/18,0.944,17.1
30/01/18,1.375,16.2
30/01/18,0.811,17.6
30/01/18,1.129,16.7
31/01/18,0.193,12.6
31/01/18,0.177,13.1
31/01/18,0.208,13.5
31/01/18,0.237,14.6
31/01/18,0.224,12.3
31/01/18,0.24,13.9
31/01/18,0.327,12.2
31/01/18,0.467,14.7
31/01/18,0.461,15.8
31/01/18,0.562,16.8
31/01/18,0.575,17.5
31/01/18,0.628,14.1
31/01/18,0.709,12.8
31/01/18,0.516,12.3
31/01/18,0.649,18
31/01/18,0.756,13.7
31/01/18,0.685,12.4
31/01/18,0.673,18.2
31/01/18,0.872,17.9
31/01/18,1.574,15.9
31/01/18,1.523,17
31/01/18,1.493,16.5
31/01/18,1.722,16.9
31/01/18,1.671,17.5
01/02/18,0.406,21.8
01/02/18,0.377,19.9
01/02/18,0.34,21.3
01/02/18,0.545,20.1
01/02/18,0.421,21.1
01/02/18,0.399,21.4
01/02/18,0.502,19.1
01/02/18,0.497,20.4
